source,external_id,external_url,first_name,last_name,display_name,country_code,gender,category,club_name,club_country_code,ranking_value,rank,ranked_at,confidence_level,total_players
ITTF,123690,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=123690,Kwan Kit,Ho,Kwan Kit Ho,HK,M,SENIOR,,,71,247,2026-05-12,HIGH,
ITTF,133627,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=133627,Miguel,Pantoja,Miguel Pantoja,ES,M,SENIOR,,,71,248,2026-05-12,HIGH,
ITTF,143605,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=143605,Shunto,Iwaida,Shunto Iwaida,JP,M,SENIOR,,,70,249,2026-05-12,HIGH,
ITTF,119850,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=119850,Daewoo,Kim,Daewoo Kim,KR,M,SENIOR,,,70,250,2026-05-12,HIGH,
ITTF,135500,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135500,Milhane,Jellouli,Milhane Jellouli,DZ,M,SENIOR,,,70,251,2026-05-12,HIGH,
ITTF,136005,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=136005,David,Szantosi,David Szantosi,HU,M,SENIOR,,,69,252,2026-05-12,HIGH,
ITTF,145352,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=145352,Uros,Ninkovic,Uros Ninkovic,RS,M,SENIOR,,,68,253,2026-05-12,HIGH,
ITTF,131062,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=131062,Adam,Klajber,Adam Klajber,SK,M,SENIOR,,,67,254,2026-05-12,HIGH,
ITTF,200301,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=200301,Priyanuj,Bhattacharyya,Priyanuj Bhattacharyya,IN,M,SENIOR,,,67,255,2026-05-12,HIGH,
ITTF,122064,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=122064,Maciej,Kolodziejczyk,Maciej Kolodziejczyk,AT,M,SENIOR,,,67,256,2026-05-12,HIGH,
ITTF,121693,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=121693,Ioannis,Sgouropoulos,Ioannis Sgouropoulos,GR,M,SENIOR,,,66,257,2026-05-12,HIGH,
ITTF,203958,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=203958,Clement,Laine,Clement Laine,PT,M,SENIOR,,,66,258,2026-05-12,HIGH,
ITTF,133736,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=133736,Taiwo,Mati,Taiwo Mati,NG,M,SENIOR,,,66,259,2026-05-12,HIGH,
ITTF,135393,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135393,Horia Stefan,Ursut,Horia Stefan Ursut,RO,M,SENIOR,,,64,260,2026-05-12,HIGH,
